date,mean_abs_correlation_60d,connectedness_60d
2020-12-01,0.23325266099998143,0.23325266099998143
2020-12-02,0.23393159264915836,0.23393159264915836
2020-12-03,0.23320247122300247,0.23320247122300247
2020-12-04,0.23152544742496628,0.23152544742496628
2020-12-07,0.23022351638382976,0.23022351638382976
2020-12-08,0.23331205363849478,0.23331205363849478
2020-12-09,0.23782662489804712,0.23782662489804712
2020-12-10,0.2375336777991086,0.2375336777991086
2020-12-11,0.23722714867461292,0.23722714867461292
2020-12-14,0.24130810408192693,0.24130810408192693
2020-12-15,0.2417133717572163,0.2417133717572163
2020-12-16,0.24383298162619862,0.24383298162619862
2020-12-17,0.22215649266565501,0.22215649266565501
2020-12-18,0.2241946167888152,0.2241946167888152
2020-12-21,0.24589004898947153,0.24589004898947153
2020-12-22,0.24893966862334652,0.24893966862334652
2020-12-23,0.24981597937854771,0.24981597937854771
2020-12-24,0.244353328691673,0.244353328691673
2020-12-28,0.24265731401261384,0.24265731401261384
2020-12-29,0.24424200829804632,0.24424200829804632
2020-12-30,0.24336902646577332,0.24336902646577332
2020-12-31,0.243052414725641,0.243052414725641
2021-01-01,0.24637999275747086,0.24637999275747086
2021-01-04,0.23169749819518165,0.23169749819518165
2021-01-05,0.23133302680171075,0.23133302680171075
2021-01-06,0.22967556105094653,0.22967556105094653
2021-01-07,0.23237985167610772,0.23237985167610772
2021-01-08,0.23139923374052224,0.23139923374052224
2021-01-11,0.23417869085267332,0.23417869085267332
2021-01-12,0.23568511829084202,0.23568511829084202
2021-01-13,0.23353093678447806,0.23353093678447806
2021-01-14,0.23646520133552262,0.23646520133552262
2021-01-15,0.24281996611103657,0.24281996611103657
2021-01-18,0.24348328065429142,0.24348328065429142
2021-01-19,0.24743310853228062,0.24743310853228062
2021-01-20,0.25364607798028505,0.25364607798028505
2021-01-21,0.24325713702429566,0.24325713702429566
2021-01-22,0.24656035455250075,0.24656035455250075
2021-01-25,0.2183983785177062,0.2183983785177062
2021-01-27,0.23757717600448428,0.23757717600448428
2021-01-28,0.227686610578686,0.227686610578686
2021-01-29,0.23149103502786056,0.23149103502786056
2021-02-01,0.23521492102488736,0.23521492102488736
2021-02-02,0.22567293281036255,0.22567293281036255
2021-02-03,0.22544476243040995,0.22544476243040995
2021-02-04,0.23430917265672963,0.23430917265672963
2021-02-05,0.22943987175071726,0.22943987175071726
2021-02-08,0.2333855385161533,0.2333855385161533
2021-02-09,0.23244516227633727,0.23244516227633727
2021-02-10,0.23750812536267019,0.23750812536267019
2021-02-11,0.24033758530080565,0.24033758530080565
2021-02-12,0.24593763370102067,0.24593763370102067
2021-02-15,0.25103186237162883,0.25103186237162883
2021-02-16,0.24983466117834455,0.24983466117834455
2021-02-17,0.25111597111360945,0.25111597111360945
2021-02-18,0.2516688696897566,0.2516688696897566
2021-02-19,0.2462655457187099,0.2462655457187099
2021-02-22,0.23044325867902382,0.23044325867902382
2021-02-23,0.2378237248533543,0.2378237248533543
2021-02-24,0.24509542313771182,0.24509542313771182
2021-02-25,0.2234068166053814,0.2234068166053814
2021-02-26,0.2501036606256522,0.2501036606256522
2021-03-01,0.22913658507353085,0.22913658507353085
2021-03-02,0.229340964300179,0.229340964300179
2021-03-03,0.2193491538723789,0.2193491538723789
2021-03-04,0.21309754921069693,0.21309754921069693
2021-03-05,0.21461753278768905,0.21461753278768905
2021-03-08,0.21726693641476422,0.21726693641476422
2021-03-09,0.22263962407861354,0.22263962407861354
2021-03-10,0.22245182202367927,0.22245182202367927
2021-03-12,0.21829073783821282,0.21829073783821282
2021-03-15,0.21753104383007504,0.21753104383007504
2021-03-16,0.21710794615123308,0.21710794615123308
2021-03-17,0.21697040058424913,0.21697040058424913
2021-03-18,0.22094120746122572,0.22094120746122572
2021-03-19,0.22395840856535873,0.22395840856535873
2021-03-22,0.22341446588256686,0.22341446588256686
2021-03-23,0.21992075171965536,0.21992075171965536
2021-03-24,0.21965107628804673,0.21965107628804673
2021-03-25,0.21619642996471797,0.21619642996471797
2021-03-26,0.21941050333013848,0.21941050333013848
2021-03-30,0.211973234388143,0.211973234388143
2021-03-31,0.2042930696065421,0.2042930696065421
2021-04-01,0.21697419121725492,0.21697419121725492
2021-04-05,0.2086316270255672,0.2086316270255672
2021-04-06,0.21005884730948626,0.21005884730948626
2021-04-07,0.209401418141029,0.209401418141029
2021-04-08,0.2137824833559589,0.2137824833559589
2021-04-09,0.21749393900613936,0.21749393900613936
